Movil;Items;Complejidad;Localidad;Propuesta Base;Direccion;Subred Integrada De Servicios De Salud;Coordenadas Geograficas;;;;;;;;;
6855;48;TAM;LOS MARTIRES;EDS TEXACO CL 1;CL 1 KRA 26;Subred Centro Oriente;4°35′42.74″N 74°6′2.83″W;;;;;;;;;
6897;49;TAB;PUENTE ARANDA;Secretaría Distrital de Salud de Bogotá;KRA 32 12 81;Subred Centro Oriente;4°36′46.37″N 74°6′13.25″W;;;;;;;;;
6934;50;TAB;PUENTE ARANDA;Alcaldía Local de Puente Aranda;Kra 31D # 4 - 05;Subred Centro Oriente;4°36′21.59″N 74°6′11.39″W;;;;;;;;;
6935;51;TAB;PUENTE ARANDA;EDS TEXACO 40;AV CL 26 SUR 52 57;Subred Sur Occidente;4°36′26.22″N 74°7′28.99″W;;;;;;;;;
6854;52;TAM;PUENTE ARANDA;EDS TERPEL TRINIDAD;KRA 68 1A 24;Subred Sur Occidente;4°37′21.7″N 74°7′27.84″W;;;;;;;;;
6898;53;TAB;PUENTE ARANDA;CRUE Cundinamarca;AV AMERICAS 54 95;Subred Sur Occidente;4°37′42.67″N 74°6′50.52″W;;;;;;;;;
6931;54;TAB;RAFAEL URIBE URIBE;EDS TEXACO MATATIGRES;KR 27 30 06;Subred Centro Oriente;4°35′0.29″N 74°7′33.25″W;;;;;;;;;
6442;55;TAB;SAN CRISTOBAL;EDS PRIMAX SANTA ANA;CLL 11 SUR 7 13;Subred Centro Oriente;4°34′43.98″N 74°5′13.03″W;;;;;;;;;
6901;56;TAB;SAN CRISTOBAL;EDS TERPEL LA HERRADURA;TV 6B ESTE 40A 35 SUR;Subred Centro Oriente;4°32′48.92″N 74°5′31.05″W;;;;;;;;;
6933;57;TAB;SAN CRISTOBAL;Estación UAECOB B-9 Bellavista;CL 41B SUR 15 ESTE 09;Subred Centro Oriente;4°32′45.91″N 74°4′54.06″W;;;;;;;;;
6905;58;TAB;SAN CRISTOBAL;Hospital San Blas;TV 5 Este # 19 - 50 Sur;Subred Centro Oriente;4°34′12.23″N 74°5′0.35″W;;;;;;;;;
6930;59;TAB;SAN CRISTOBAL;Centro de atención Balcanes;Calle sur # 1B - 10 Este;Subred Centro Oriente;4°34′28.92″N 74°4′52.8″W;;;;;;;;;
6896;60;TAB;SAN CRISTOBAL;EDS TEXACO SAN BLAS;KRA 3 ESTE 22 90 SUR;Subred Centro Oriente;4°34′7.2″N 74°5′7.67″W;;;;;;;;;
6978;61;TAB;SAN CRISTOBAL;Hospital San Blas;TV 5 Este # 19 - 50 Sur;Subred Centro Oriente;4°34′12.23″N 74°5′0.35″W;;;;;;;;;
7099;62;TAM;SAN CRISTOBAL;MOVIL ESPEJO - Estación de servicio Texaco Calle 11;TV 5 Este # 19 - 50 Sur;Subred Centro Oriente;4°34′12.23″N 74°5′0.35″W;;;;;;;;;
7082;63;TAM;SAN CRISTOBAL;MOVIL ESPEJO - Estacion de Servicio Texaco MataTigres;TV 5 Este # 19 - 50 Sur;Subred Centro Oriente;4°34′12.23″N 74°5′0.35″W;;;;;;;;;
6886;64;TAB;SAN CRISTOBAL;MOVIL ESPEJO;TV 5 Este # 19 - 50 Sur;Subred Centro Oriente;4°34′12.23″N 74°5′0.35″W;;;;;;;;;
6841;65;TAM;SAN CRISTOBAL;MOVIL ESPEJO;TV 5 Este # 19 - 50 Sur;Subred Centro Oriente;4°34′12.23″N 74°5′0.35″W;;;;;;;;;
6907;66;TAB;SAN CRISTOBAL;Vehiculo sale de circulacion;TV 5 Este # 19 - 50 Sur;Subred Centro Oriente;4°34′12.23″N 74°5′0.35″W;;;;;;;;;
7081;67;TAM;SAN CRISTOBAL;EDS TERPEL CARRERA 10;KR 10 31 SUR 50;Subred Sur;4°34′6.42″N 74°6′3.21″W;;;;;;;;;
7028;68;TAB;SUBA;USS Fray Bartolomé de las Casas;AV SUBA 106 47;Subred Norte;4°41′34.61″N 74°4′3.68″W;;;;;;;;;
6908;69;TAB;SUBA;Farmatodo Britalia norte;CL 167 73 02;Subred Norte;4°45′5.75″N 74°3′56.08″W;;;;;;;;;
6840;70;TAM;SUBA;EDS TERPEL LA CONEJERA;KRA 98A 140B 60;Subred Norte;4°44′28.02″N 74°5′23.99″W;;;;;;;;;
6894;71;TAB;SUBA;EDS PRIMAX LAGARTOS;AV BOYACA 95 31;Subred Norte;4°41′49.8″N 74°5′4.11″W;;;;;;;;;
7031;72;TAB;SUBA;Club Ecopetrol;AV SUBA 100 90;Subred Norte;4°41′26.5″N 74°3′52.66″W;;;;;;;;;
6906;73;TAB;SUBA;Bomberos estación suba;Calle 146c # 92-04;Subred Norte;4°44′28.39″N 74°5′6.32″W;;;;;;;;;
7098;74;TAM;SUBA;mercado zapatoca;carrera 104 # 152a - 65;Subred Norte;4°45′10.73″N 74°5′36.78″W;;;;;;;;;
6893;75;TAB;SUBA;Circulo de Suboficiales de las FFMM Colina campestre.;Cl 138 55 38;Subred Norte;4°43′37.28″N 74°3′37.82″W;;;;;;;;;
6969;76;TAM;TEUSAQUILLO;Concejo de Bogotá;CL 36 28A 06;Subred Norte;4°37′29.8″N 74°4′40.75″W;;;;;;;;;
6884;77;TAB;TEUSAQUILLO;Defensa Civil Colombiana - Dirección General;Cl. 52 #14-67, Bogotá;Subred Norte;4°38′21.91″N 74°4′1.9″W;;;;;;;;;
6979;78;TAM;TEUSAQUILLO;Instituto Nacional de Salud;CL 26 51 20;Subred Norte;4°38′29.44″N 74°5′41.87″W;;;;;;;;;
7029;79;TAB;TUNJUELITO;Subdirección local para la integración social Tunjuelito;DG 47A 53 92 SUR;Subred Sur;4°35′34.28″N 74°8′27.92″W;;;;;;;;;
6839;80;TAM;TUNJUELITO;MOVIL ESPEJO;Hospital Tunal;Subred Sur;4°34′18.6″N 74°7′42.17″W;;;;;;;;;
6885;81;TAB;TUNJUELITO;Centro Comercial Ciudad Tunal;CL 47B SUR 24B 33;Subred Sur;4°34′41.47″N 74°7′51.63″W;;;;;;;;;
6889;82;TAB;TUNJUELITO;EDS PETROMIL SERVI-CENTRO VENECIA;KR 53 52 B 11 SUR;Subred Sur;4°35′25.49″N 74°8′18.14″W;;;;;;;;;
6888;83;TAB;TUNJUELITO;EDS BRIO SAN CARLOS;AV CARACAS 50SUR 73;Subred Sur;4°34′35.78″N 74°7′35.2″W;;;;;;;;;
6972;84;TAM;TUNJUELITO;Bomberos estación Venecia;KR 49A SUR 49 61;Subred Sur;4°35′28.5″N 74°8′9.4″W;;;;;;;;;
6887;85;TAB;TUNJUELITO;frigorifico guadalupe;Autopista Sur N. 66-78;Subred Sur Occidente;4°35′42.2″N 74°9′5.74″W;;;;;;;;;
7027;86;TAB;USAQUEN;Centro Comercial Unicentro;KRA 15 124 30;Subred Norte;4°42′9.83″N 74°2′26.95″W;;;;;;;;;
6891;87;TAB;USAQUEN;;Codabas carrera 7 180-75;Subred Norte;4°45′22.44″N 74°1′31.33″W;;;;;;;;;
SMS030;88;SALUDMENTAL;USAQUEN;Éxito Norte;Cl 175 22 13;Subred Norte;4°45′16.42″N 74°2′40.57″W;;;;;;;;;
7030;89;TAB;USME;Centro Comercial AltaVista;KR 1A 65D 58 SUR;Subred Sur Occidente;4°31′58.76″N 74°7′2.76″W;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
